studyInstanceUID,filepath
1.2.276.0.7230010.3.1.2.8323329.10118.1517874346.924222,"/defaultStorage/fsRetrieve/3e/74/3e74f8c428d7482286163a4906f359b7.dcm"
1.2.276.0.7230010.3.1.2.8323329.1747.1517874292.605927,"/defaultStorage/fsRetrieve/ca/d8/cad8afa494dd4ac3abc7c7aea72e8949.dcm"
1.2.276.0.7230010.3.1.2.8323329.8643.1517874338.580515,"/defaultStorage/fsRetrieve/dc/c2/dcc237bfcaba48c38cc08e5d6db151a6.dcm"
1.2.276.0.7230010.3.1.2.8323329.7188.1517874330.219668,"/defaultStorage/fsRetrieve/60/64/6064347980b64f00a1a82017cdca619b.dcm"
1.2.276.0.7230010.3.1.2.8323329.29958.1517874494.781610,"/defaultStorage/fsRetrieve/b1/f4/b1f4758c11844e7d8645373e846291e0.dcm"
1.2.276.0.7230010.3.1.2.8323329.19127.1517874415.377769,"/defaultStorage/fsRetrieve/e3/92/e3921cd63d6c4c63a2d6641988b4aa4a.dcm"
1.2.276.0.7230010.3.1.2.8323329.24455.1517874454.556021,"/defaultStorage/fsRetrieve/59/14/59146fc6d79f4a86a7c24a0136f86592.dcm"
1.2.276.0.7230010.3.1.2.8323329.24043.1517874452.128008,"/defaultStorage/fsRetrieve/c0/8e/c08edd8218034a1fa9cb8665e3d9937c.dcm"
1.2.276.0.7230010.3.1.2.8323329.27738.1517874480.176620,"/defaultStorage/fsRetrieve/5b/42/5b42e843e3954246b298205e505ea9c1.dcm"
1.2.276.0.7230010.3.1.2.8323329.26716.1517874473.782215,"/defaultStorage/fsRetrieve/29/bc/29bc634c163342baa532b3a70489104e.dcm"
1.2.276.0.7230010.3.1.2.8323329.2634.1517874297.620774,"/defaultStorage/fsRetrieve/e4/9e/e49e76c77abc422f8f2c1bac53bcb49e.dcm"
1.2.276.0.7230010.3.1.2.8323329.8194.1517874336.44598,"/defaultStorage/fsRetrieve/14/ed/14ed4058505d41bb95c88725c4f01345.dcm"
1.2.276.0.7230010.3.1.2.8323329.31098.1517874506.141038,"/defaultStorage/fsRetrieve/5d/b7/5db7b184f3954497af5640e62e790197.dcm"
1.2.276.0.7230010.3.1.2.8323329.29914.1517874494.562397,"/defaultStorage/fsRetrieve/c6/04/c6041abd0d434a818c8130d0a9043f8d.dcm"
1.2.276.0.7230010.3.1.2.8323329.13416.1517874372.500735,"/defaultStorage/fsRetrieve/21/a5/21a5af266e824c15bd065ff9d456a7b6.dcm"
1.2.276.0.7230010.3.1.2.8323329.31383.1517874508.535883,"/defaultStorage/fsRetrieve/02/c0/02c0b82679a44095a36ec02a48e979e5.dcm"
